Nominal Composition,Product  Form,Spec. No.,"UNS
No.",100,150,200,250,300,400,500,600,650,700,750,800,850,900,950,1000,1050,1100,1150,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,,,
Carbon steel,Sheet,SA-1008-CS-A,,11400.00,11400.00,11400.00,#VALUE!,11400.00,11400.00,10900.00,10200.00,9900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Sheet,SA-1008-CS-B,,11400.00,11400.00,11400.00,#VALUE!,11400.00,11400.00,10900.00,10200.00,9900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Bar,SA-675-45,,12900.00,12900.00,12900.00,#VALUE!,12900.00,12800.00,12200.00,11500.00,11100.00,10700.00,10400.00,9200.00,7900.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-134-A283A,,12900.00,#VALUE!,12900.00,#VALUE!,12900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-283-A,,12900.00,12900.00,12900.00,#VALUE!,12900.00,12900.00,12900.00,12300.00,11900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Plate,SA-285-A,,12900.00,12900.00,12900.00,#VALUE!,12900.00,12900.00,12900.00,12300.00,11900.00,11500.00,10700.00,9200.00,7900.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  pipe,SA-672-A,K01700  ,12900.00,#VALUE!,12900.00,#VALUE!,12900.00,12900.00,12900.00,12300.00,11900.00,11500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Sheet,SA-414-A,K01501  ,12900.00,12900.00,12900.00,#VALUE!,12900.00,12900.00,12900.00,12800.00,12400.00,11900.00,10700.00,9200.00,7900.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  tube,SA-178-A,K01200,13400.00,#VALUE!,13400.00,#VALUE!,13400.00,13400.00,13400.00,13300.00,12800.00,12400.00,10700.00,9200.00,7900.00,5900.00,4000.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  tube,SA-178-A,K01200,11400.00,11400.00,11400.00,#VALUE!,11400.00,11400.00,11400.00,11300.00,10900.00,10500.00,9100.00,7800.00,6700.00,5000.00,3400.00,2100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  tube,SA-179,K01200,13400.00,13400.00,13400.00,#VALUE!,13400.00,13400.00,13400.00,13300.00,12800.00,12400.00,10700.00,9200.00,7900.00,5900.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  tube,SA-192,K01201,13400.00,13400.00,13400.00,#VALUE!,13400.00,13400.00,13400.00,13300.00,12800.00,12400.00,10700.00,9200.00,7900.00,5900.00,4000.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Wld.  tube,SA-214,k01807,11400.00,11400.00,11400.00,#VALUE!,11400.00,11400.00,11400.00,11300.00,10900.00,10500.00,9100.00,7800.00,6700.00,5000.00,3400.00,2100.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
Carbon steel,Smls.  tube,SA-556-A2,k01807,13400.00,13400.00,13400.00,#VALUE!,13400.00,13400.00,13400.00,13300.00,12800.00,12400.00,10700.00,9200.00,7900.00,5900.00,4000.00,2500.00,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,
